# WARP endpoints: 2602 working / 3584 probed
# sorted by in-tunnel loss, then in-tunnel ping
# ENDPOINT PING = ICMP ping to the endpoint address from this host, no tunnel involved
# TUN PING / LOSS = RTT and packet loss measured inside the tunnel, to 1.1.1.1
# SEEN AS = region external services see through the tunnel
# NODE / NODE LOCATION = Cloudflare WARP edge node the tunnel landed on, and where it sits
# One /24 pool can land on several different nodes - NODE is per endpoint, not per subnet

ENDPOINT               ENDPOINT PING TUN PING  LOSS   SEEN AS    NODE   NODE LOCATION
162.159.192.131:1701   179ms         182ms     0%     CN         LAX    Los Angeles, US
8.39.214.156:500       188ms         182ms     0%     CN         LAX    Los Angeles, US
188.114.97.9:1701      180ms         184ms     0%     CN         LAX    Los Angeles, US
188.114.96.5:500       187ms         186ms     0%     CN         LAX    Los Angeles, US
8.47.69.36:2408        210ms         186ms     0%     CN         LAX    Los Angeles, US
8.35.211.125:500       194ms         187ms     0%     CN         LAX    Los Angeles, US
8.39.214.18:500        188ms         187ms     0%     CN         LAX    Los Angeles, US
188.114.97.89:500      189ms         188ms     0%     CN         LAX    Los Angeles, US
8.39.204.146:4500      194ms         188ms     0%     CN         LAX    Los Angeles, US
8.39.214.170:500       187ms         188ms     0%     CN         LAX    Los Angeles, US
8.6.112.161:1701       187ms         188ms     0%     CN         LAX    Los Angeles, US
8.39.204.122:1701      208ms         188ms     0%     CN         LAX    Los Angeles, US
8.39.204.50:500        193ms         188ms     0%     CN         LAX    Los Angeles, US
188.114.96.47:1701     186ms         188ms     0%     CN         LAX    Los Angeles, US
8.47.69.70:2408        182ms         188ms     0%     CN         LAX    Los Angeles, US
8.35.211.188:4500      192ms         188ms     0%     CN         LAX    Los Angeles, US
8.35.211.114:1701      214ms         189ms     0%     CN         LAX    Los Angeles, US
8.39.214.185:2408      182ms         189ms     0%     CN         LAX    Los Angeles, US
8.39.204.189:2408      188ms         189ms     0%     CN         LAX    Los Angeles, US
8.47.69.30:1701        195ms         189ms     0%     CN         LAX    Los Angeles, US
8.47.69.115:2408       200ms         189ms     0%     CN         LAX    Los Angeles, US
162.159.192.234:2408   206ms         189ms     0%     CN         LAX    Los Angeles, US
8.35.211.7:500         205ms         189ms     0%     CN         LAX    Los Angeles, US
8.39.204.133:2408      191ms         189ms     0%     CN         LAX    Los Angeles, US
8.47.69.56:500         188ms         189ms     0%     CN         LAX    Los Angeles, US
8.47.69.104:500        200ms         189ms     0%     CN         LAX    Los Angeles, US
188.114.96.229:1701    187ms         189ms     0%     CN         LAX    Los Angeles, US
8.34.70.13:4500        194ms         189ms     0%     CN         LAX    Los Angeles, US
8.35.211.108:4500      187ms         190ms     0%     CN         LAX    Los Angeles, US
162.159.195.26:2408    189ms         190ms     0%     CN         LAX    Los Angeles, US
8.47.69.191:500        201ms         190ms     0%     CN         LAX    Los Angeles, US
162.159.192.229:500    202ms         190ms     0%     CN         LAX    Los Angeles, US
188.114.96.68:500      189ms         190ms     0%     CN         LAX    Los Angeles, US
8.34.70.251:2408       185ms         190ms     0%     CN         LAX    Los Angeles, US
188.114.99.233:500     191ms         190ms     0%     CN         LAX    Los Angeles, US
162.159.195.230:1701   189ms         190ms     0%     CN         LAX    Los Angeles, US
188.114.96.226:1701    183ms         190ms     0%     CN         LAX    Los Angeles, US
8.34.146.126:1701      194ms         190ms     0%     CN         LAX    Los Angeles, US
188.114.97.27:500      200ms         190ms     0%     CN         LAX    Los Angeles, US
8.39.204.88:2408       193ms         190ms     0%     CN         LAX    Los Angeles, US
8.6.112.177:2408       182ms         190ms     0%     CN         LAX    Los Angeles, US
8.47.69.96:2408        218ms         191ms     0%     CN         LAX    Los Angeles, US
8.35.211.239:2408      209ms         191ms     0%     CN         LAX    Los Angeles, US
8.39.214.27:2408       187ms         191ms     0%     CN         LAX    Los Angeles, US
8.39.204.244:2408      188ms         191ms     0%     CN         LAX    Los Angeles, US
188.114.99.199:1701    190ms         191ms     0%     CN         LAX    Los Angeles, US
8.6.112.128:1701       187ms         191ms     0%     CN         LAX    Los Angeles, US
162.159.195.77:1701    206ms         191ms     0%     CN         LAX    Los Angeles, US
188.114.97.128:2408    181ms         191ms     0%     CN         LAX    Los Angeles, US
8.47.69.39:4500        181ms         191ms     0%     CN         LAX    Los Angeles, US
8.39.204.142:2408      210ms         191ms     0%     CN         LAX    Los Angeles, US
8.39.214.166:2408      192ms         191ms     0%     CN         LAX    Los Angeles, US
188.114.97.164:500     182ms         191ms     0%     CN         LAX    Los Angeles, US
8.39.204.4:2408        181ms         191ms     0%     CN         LAX    Los Angeles, US
188.114.98.96:2408     182ms         191ms     0%     CN         LAX    Los Angeles, US
8.6.112.113:500        199ms         191ms     0%     CN         LAX    Los Angeles, US
8.39.204.198:500       200ms         192ms     0%     CN         LAX    Los Angeles, US
8.6.112.57:500         197ms         192ms     0%     CN         LAX    Los Angeles, US
8.47.69.155:500        187ms         192ms     0%     CN         LAX    Los Angeles, US
8.34.70.237:500        189ms         192ms     0%     CN         LAX    Los Angeles, US
8.39.125.66:2408       191ms         192ms     0%     CN         LAX    Los Angeles, US
162.159.195.204:4500   204ms         192ms     0%     CN         LAX    Los Angeles, US
162.159.192.70:4500    216ms         192ms     0%     CN         LAX    Los Angeles, US
162.159.192.222:1701   192ms         192ms     0%     CN         LAX    Los Angeles, US
8.34.70.42:500         203ms         192ms     0%     CN         LAX    Los Angeles, US
188.114.96.18:2408     188ms         192ms     0%     CN         LAX    Los Angeles, US
8.34.146.69:2408       195ms         192ms     0%     CN         LAX    Los Angeles, US
8.34.70.201:500        188ms         192ms     0%     CN         LAX    Los Angeles, US
188.114.99.172:1701    209ms         193ms     0%     CN         LAX    Los Angeles, US
188.114.99.28:500      190ms         193ms     0%     CN         LAX    Los Angeles, US
162.159.192.106:4500   193ms         193ms     0%     CN         LAX    Los Angeles, US
8.39.125.153:500       194ms         193ms     0%     CN         LAX    Los Angeles, US
8.39.214.201:2408      193ms         193ms     0%     CN         LAX    Los Angeles, US
188.114.98.7:500       205ms         193ms     0%     CN         LAX    Los Angeles, US
8.34.146.149:2408      186ms         193ms     0%     CN         LAX    Los Angeles, US
8.35.211.196:4500      206ms         193ms     0%     CN         LAX    Los Angeles, US
162.159.192.0:4500     187ms         193ms     0%     CN         LAX    Los Angeles, US
188.114.98.157:1701    189ms         194ms     0%     CN         LAX    Los Angeles, US
8.34.146.226:4500      188ms         194ms     0%     CN         LAX    Los Angeles, US
8.34.146.40:500        196ms         194ms     0%     CN         LAX    Los Angeles, US
8.34.70.131:500        215ms         194ms     0%     CN         LAX    Los Angeles, US
8.47.69.12:500         179ms         194ms     0%     CN         LAX    Los Angeles, US
162.159.192.187:4500   188ms         194ms     0%     CN         LAX    Los Angeles, US
8.34.70.37:500         210ms         194ms     0%     CN         LAX    Los Angeles, US
188.114.98.13:1701     201ms         194ms     0%     CN         LAX    Los Angeles, US
8.34.146.217:1701      208ms         194ms     0%     CN         LAX    Los Angeles, US
162.159.192.219:2408   191ms         194ms     0%     CN         LAX    Los Angeles, US
8.39.204.120:2408      197ms         194ms     0%     CN         LAX    Los Angeles, US
8.35.211.32:2408       196ms         194ms     0%     CN         LAX    Los Angeles, US
188.114.98.88:1701     203ms         194ms     0%     CN         LAX    Los Angeles, US
8.39.204.237:2408      199ms         194ms     0%     CN         LAX    Los Angeles, US
8.34.146.57:2408       188ms         195ms     0%     CN         LAX    Los Angeles, US
8.6.112.178:2408       194ms         195ms     0%     CN         LAX    Los Angeles, US
8.34.70.90:1701        182ms         195ms     0%     CN         LAX    Los Angeles, US
8.47.69.253:4500       189ms         195ms     0%     CN         LAX    Los Angeles, US
8.34.146.250:4500      187ms         195ms     0%     CN         LAX    Los Angeles, US
8.6.112.32:2408        187ms         195ms     0%     CN         LAX    Los Angeles, US
188.114.98.118:4500    190ms         195ms     0%     CN         LAX    Los Angeles, US
8.35.211.138:500       181ms         195ms     0%     CN         LAX    Los Angeles, US
188.114.97.129:2408    180ms         195ms     0%     CN         LAX    Los Angeles, US
8.34.70.127:4500       211ms         195ms     0%     CN         LAX    Los Angeles, US
8.34.146.152:2408      190ms         195ms     0%     CN         LAX    Los Angeles, US
8.34.146.39:1701       196ms         195ms     0%     CN         LAX    Los Angeles, US
8.35.211.4:2408        184ms         195ms     0%     CN         LAX    Los Angeles, US
8.35.211.21:4500       213ms         196ms     0%     CN         LAX    Los Angeles, US
188.114.96.9:1701      191ms         196ms     0%     CN         LAX    Los Angeles, US
162.159.192.119:4500   202ms         196ms     0%     CN         LAX    Los Angeles, US
8.39.214.161:500       188ms         196ms     0%     CN         LAX    Los Angeles, US
8.6.112.35:500         191ms         196ms     0%     CN         LAX    Los Angeles, US
8.39.214.165:2408      193ms         196ms     0%     CN         LAX    Los Angeles, US
8.47.69.109:500        214ms         197ms     0%     CN         LAX    Los Angeles, US
188.114.99.175:1701    201ms         197ms     0%     CN         LAX    Los Angeles, US
8.34.146.212:2408      214ms         197ms     0%     CN         LAX    Los Angeles, US
162.159.195.200:2408   206ms         197ms     0%     CN         LAX    Los Angeles, US
188.114.98.207:500     204ms         197ms     0%     CN         LAX    Los Angeles, US
188.114.99.242:1701    195ms         197ms     0%     CN         LAX    Los Angeles, US
188.114.99.22:500      ?             197ms     0%     CN         LAX    Los Angeles, US
8.34.70.28:4500        199ms         197ms     0%     CN         LAX    Los Angeles, US
8.39.125.65:2408       186ms         197ms     0%     CN         LAX    Los Angeles, US
162.159.192.180:500    205ms         197ms     0%     CN         LAX    Los Angeles, US
8.39.125.144:2408      187ms         198ms     0%     CN         LAX    Los Angeles, US
8.35.211.198:2408      209ms         198ms     0%     CN         LAX    Los Angeles, US
8.39.204.25:1701       192ms         198ms     0%     CN         LAX    Los Angeles, US
188.114.99.93:500      188ms         198ms     0%     CN         LAX    Los Angeles, US
8.39.204.154:2408      196ms         198ms     0%     CN         LAX    Los Angeles, US
188.114.96.213:4500    207ms         198ms     0%     CN         LAX    Los Angeles, US
8.35.211.133:1701      200ms         198ms     0%     CN         LAX    Los Angeles, US
188.114.99.197:1701    189ms         198ms     0%     CN         LAX    Los Angeles, US
8.34.70.254:1701       208ms         199ms     0%     CN         LAX    Los Angeles, US
188.114.96.75:4500     200ms         199ms     0%     CN         LAX    Los Angeles, US
188.114.96.78:4500     ?             199ms     0%     CN         LAX    Los Angeles, US
8.47.69.23:500         178ms         199ms     0%     CN         LAX    Los Angeles, US
8.47.69.44:500         215ms         199ms     0%     CN         LAX    Los Angeles, US
188.114.98.243:4500    201ms         200ms     0%     CN         LAX    Los Angeles, US
8.39.214.70:2408       210ms         200ms     0%     CN         LAX    Los Angeles, US
188.114.99.90:500      195ms         200ms     0%     CN         LAX    Los Angeles, US
188.114.97.84:1701     197ms         200ms     0%     CN         LAX    Los Angeles, US
8.39.214.209:1701      195ms         200ms     0%     CN         LAX    Los Angeles, US
8.35.211.213:2408      196ms         200ms     0%     CN         LAX    Los Angeles, US
188.114.99.181:2408    198ms         200ms     0%     CN         LAX    Los Angeles, US
8.34.146.174:4500      211ms         200ms     0%     CN         LAX    Los Angeles, US
162.159.192.192:1701   202ms         200ms     0%     CN         LAX    Los Angeles, US
8.39.214.5:500         189ms         200ms     0%     CN         LAX    Los Angeles, US
188.114.99.224:2408    193ms         200ms     0%     CN         LAX    Los Angeles, US
8.47.69.184:500        198ms         200ms     0%     CN         LAX    Los Angeles, US
162.159.195.17:1701    ?             200ms     0%     CN         LAX    Los Angeles, US
8.35.211.64:4500       194ms         201ms     0%     CN         LAX    Los Angeles, US
188.114.97.152:4500    188ms         201ms     0%     CN         LAX    Los Angeles, US
8.6.112.157:500        207ms         201ms     0%     CN         LAX    Los Angeles, US
188.114.96.28:2408     204ms         201ms     0%     CN         LAX    Los Angeles, US
162.159.195.32:1701    184ms         201ms     0%     CN         LAX    Los Angeles, US
188.114.99.71:1701     196ms         201ms     0%     CN         LAX    Los Angeles, US
8.39.214.103:1701      189ms         201ms     0%     CN         LAX    Los Angeles, US
8.6.112.146:500        196ms         201ms     0%     CN         LAX    Los Angeles, US
8.39.214.179:500       197ms         201ms     0%     CN         LAX    Los Angeles, US
188.114.97.96:2408     205ms         202ms     0%     CN         LAX    Los Angeles, US
8.47.69.146:2408       203ms         202ms     0%     CN         LAX    Los Angeles, US
162.159.192.248:1701   189ms         202ms     0%     CN         LAX    Los Angeles, US
188.114.96.107:500     188ms         202ms     0%     CN         LAX    Los Angeles, US
188.114.97.197:2408    193ms         202ms     0%     CN         LAX    Los Angeles, US
8.39.204.9:2408        199ms         203ms     0%     CN         LAX    Los Angeles, US
188.114.97.47:1701     196ms         203ms     0%     CN         LAX    Los Angeles, US
8.39.125.111:2408      193ms         203ms     0%     CN         LAX    Los Angeles, US
162.159.195.58:1701    210ms         203ms     0%     CN         LAX    Los Angeles, US
8.47.69.224:500        214ms         203ms     0%     CN         LAX    Los Angeles, US
8.6.112.210:500        199ms         203ms     0%     CN         LAX    Los Angeles, US
8.35.211.151:2408      197ms         203ms     0%     CN         LAX    Los Angeles, US
8.34.146.195:500       187ms         204ms     0%     CN         LAX    Los Angeles, US
188.114.96.131:500     195ms         204ms     0%     CN         LAX    Los Angeles, US
8.39.125.29:4500       211ms         204ms     0%     CN         LAX    Los Angeles, US
188.114.99.5:4500      201ms         204ms     0%     CN         LAX    Los Angeles, US
188.114.98.125:4500    197ms         204ms     0%     CN         LAX    Los Angeles, US
162.159.195.157:4500   187ms         204ms     0%     CN         LAX    Los Angeles, US
162.159.192.72:4500    193ms         204ms     0%     CN         LAX    Los Angeles, US
8.39.204.57:1701       208ms         205ms     0%     CN         LAX    Los Angeles, US
162.159.192.233:500    181ms         205ms     0%     CN         LAX    Los Angeles, US
8.34.146.163:1701      206ms         205ms     0%     CN         LAX    Los Angeles, US
188.114.97.182:2408    196ms         205ms     0%     CN         LAX    Los Angeles, US
188.114.96.65:500      197ms         205ms     0%     CN         LAX    Los Angeles, US
162.159.195.66:2408    190ms         206ms     0%     CN         LAX    Los Angeles, US
162.159.192.238:1701   186ms         206ms     0%     CN         LAX    Los Angeles, US
188.114.99.137:4500    196ms         206ms     0%     CN         LAX    Los Angeles, US
188.114.96.73:2408     204ms         206ms     0%     CN         LAX    Los Angeles, US
8.39.204.23:4500       187ms         206ms     0%     CN         LAX    Los Angeles, US
8.35.211.242:4500      188ms         206ms     0%     CN         LAX    Los Angeles, US
188.114.98.180:500     198ms         207ms     0%     CN         LAX    Los Angeles, US
8.35.211.76:2408       196ms         207ms     0%     CN         LAX    Los Angeles, US
8.34.146.159:500       205ms         207ms     0%     CN         LAX    Los Angeles, US
188.114.97.107:4500    200ms         208ms     0%     CN         LAX    Los Angeles, US
188.114.96.215:2408    196ms         208ms     0%     CN         LAX    Los Angeles, US
188.114.96.100:1701    208ms         208ms     0%     CN         LAX    Los Angeles, US
8.34.146.135:500       209ms         209ms     0%     CN         LAX    Los Angeles, US
8.34.146.140:2408      190ms         209ms     0%     CN         LAX    Los Angeles, US
8.34.146.48:2408       204ms         209ms     0%     CN         LAX    Los Angeles, US
8.34.146.157:500       197ms         210ms     0%     CN         LAX    Los Angeles, US
8.6.112.5:500          193ms         211ms     0%     CN         LAX    Los Angeles, US
188.114.97.83:500      203ms         212ms     0%     CN         LAX    Los Angeles, US
162.159.192.93:500     193ms         182ms     10%    CN         LAX    Los Angeles, US
8.47.69.68:500         181ms         182ms     10%    CN         LAX    Los Angeles, US
8.39.214.32:2408       190ms         182ms     10%    CN         LAX    Los Angeles, US
162.159.195.171:2408   185ms         182ms     10%    CN         LAX    Los Angeles, US
162.159.192.164:1701   198ms         183ms     10%    CN         LAX    Los Angeles, US
8.39.204.219:500       183ms         184ms     10%    CN         LAX    Los Angeles, US
8.47.69.163:1701       192ms         184ms     10%    CN         LAX    Los Angeles, US
8.47.69.205:2408       192ms         184ms     10%    CN         LAX    Los Angeles, US
8.39.204.145:4500      195ms         185ms     10%    CN         LAX    Los Angeles, US
8.39.214.241:1701      181ms         185ms     10%    CN         LAX    Los Angeles, US
8.39.125.202:1701      200ms         185ms     10%    CN         LAX    Los Angeles, US
8.39.214.66:500        186ms         185ms     10%    CN         LAX    Los Angeles, US
162.159.192.155:1701   207ms         185ms     10%    CN         LAX    Los Angeles, US
8.39.214.160:500       195ms         185ms     10%    CN         LAX    Los Angeles, US
8.6.112.169:2408       205ms         185ms     10%    CN         LAX    Los Angeles, US
8.47.69.2:500          183ms         185ms     10%    CN         LAX    Los Angeles, US
8.39.214.238:4500      186ms         185ms     10%    CN         LAX    Los Angeles, US
8.39.214.45:4500       188ms         186ms     10%    CN         LAX    Los Angeles, US
8.34.70.64:2408        191ms         186ms     10%    CN         LAX    Los Angeles, US
162.159.192.125:4500   182ms         186ms     10%    CN         LAX    Los Angeles, US
8.47.69.29:500         186ms         186ms     10%    CN         LAX    Los Angeles, US
8.39.204.64:500        208ms         186ms     10%    CN         LAX    Los Angeles, US
8.35.211.86:4500       ?             186ms     10%    CN         LAX    Los Angeles, US
8.47.69.148:2408       186ms         186ms     10%    CN         LAX    Los Angeles, US
8.39.204.235:500       201ms         186ms     10%    CN         LAX    Los Angeles, US
8.34.70.200:1701       193ms         186ms     10%    CN         LAX    Los Angeles, US
8.34.146.56:2408       202ms         186ms     10%    CN         LAX    Los Angeles, US
188.114.97.142:500     189ms         186ms     10%    CN         LAX    Los Angeles, US
8.6.112.12:500         ?             187ms     10%    CN         LAX    Los Angeles, US
8.35.211.45:1701       194ms         187ms     10%    CN         LAX    Los Angeles, US
162.159.192.204:1701   188ms         187ms     10%    CN         LAX    Los Angeles, US
8.39.125.140:1701      192ms         187ms     10%    CN         LAX    Los Angeles, US
8.35.211.112:500       188ms         187ms     10%    CN         LAX    Los Angeles, US
188.114.97.124:1701    203ms         187ms     10%    CN         LAX    Los Angeles, US
162.159.195.223:4500   180ms         187ms     10%    CN         LAX    Los Angeles, US
8.34.146.125:1701      189ms         187ms     10%    CN         LAX    Los Angeles, US
188.114.96.40:500      191ms         187ms     10%    CN         LAX    Los Angeles, US
8.39.204.118:1701      188ms         187ms     10%    CN         LAX    Los Angeles, US
188.114.97.136:500     189ms         187ms     10%    CN         LAX    Los Angeles, US
8.34.70.203:500        201ms         188ms     10%    CN         LAX    Los Angeles, US
8.39.204.229:2408      213ms         188ms     10%    CN         LAX    Los Angeles, US
188.114.97.238:500     209ms         188ms     10%    CN         LAX    Los Angeles, US
8.39.204.183:2408      188ms         188ms     10%    CN         LAX    Los Angeles, US
8.34.146.137:500       220ms         188ms     10%    CN         LAX    Los Angeles, US
8.39.204.163:4500      200ms         188ms     10%    CN         LAX    Los Angeles, US
8.47.69.125:1701       189ms         188ms     10%    CN         LAX    Los Angeles, US
8.39.214.172:2408      185ms         188ms     10%    CN         LAX    Los Angeles, US
