[2026-09-11T16:23:40.124Z INFO  aether] Aether v1.9.0
[2026-09-11T16:23:40.125Z INFO  aether::sysprofile] [*] performance profile: High (cpus=12 mem=15920MB); scan concurrency cap=unlimited, udp socket buffer=7168KB, netstack tcp buffers=2048KB rx/512KB tx, netstack udp buffer=128KB, channel capacity=1024, h2 windows=16384KB/32768KB
[2026-09-11T16:23:40.126Z INFO  aether] [+] loaded existing masque identity from aether-masque.toml
[2026-09-11T16:23:40.131Z INFO  aether] [+] identity ready: device=ffdffcc5-731f-488a-93ac-88c630bb955c ipv4=172.16.0.2 ipv6=2606:4700:110:84c3:2b7b:64c0:34f4:7678
[2026-09-11T16:23:40.131Z INFO  aether] [+] ECH disabled (warp masque endpoint does not accept ECH); SNI sent in cleartext
[2026-09-11T16:23:40.131Z INFO  aether] [+] using forced peer 162.159.198.2:443 (probe skipped)
[2026-09-11T16:23:40.132Z INFO  aether] [+] using cloudflare edge 162.159.198.2:443
[2026-09-11T16:23:40.132Z INFO  aether] [+] obfuscation profile: firewall
[2026-09-11T16:23:40.132Z INFO  aether] [+] MASQUE transport: HTTP/3 (QUIC) to 162.159.198.2:443
[2026-09-11T16:23:40.133Z INFO  aether::tls] tls verification: pin-based (2 pins loaded)
[2026-09-11T16:23:41.536Z INFO  aether::quic] quic handshake established; alpn=h3
[2026-09-11T16:23:41.536Z INFO  aether::quic] connect-ip request sent on stream 0
[2026-09-11T16:23:41.536Z INFO  aether::quic] [*] validating masque data-plane before exposing socks5
[2026-09-11T16:23:42.577Z INFO  aether::quic] connect-ip status: 200
[2026-09-11T16:23:43.820Z INFO  aether::quic] [+] masque tunnel validated (end-to-end data confirmed); exposing socks5
[2026-09-11T16:23:43.820Z INFO  aether] [+] socks5 server listening on 127.0.0.1:1819
