# WARP endpoints: 13 working / 42 probed
# sorted by ping to the endpoint
# ENDPOINT PING = ICMP ping to the endpoint address from this host, no tunnel involved
# SEEN AS = region external services see through the tunnel
# NODE / NODE LOCATION = Cloudflare WARP edge node the tunnel landed on, and where it sits
# One /24 pool can land on several different nodes - NODE is per endpoint, not per subnet

ENDPOINT               ENDPOINT PING SEEN AS    NODE   NODE LOCATION
8.39.204.89:1701       149ms         CN         LAX    Los Angeles, US
8.39.204.30:500        151ms         CN         LAX    Los Angeles, US
8.35.211.244:500       152ms         CN         LAX    Los Angeles, US
8.39.214.1:1701        153ms         CN         LAX    Los Angeles, US
8.34.146.130:1701      157ms         CN         LAX    Los Angeles, US
188.114.98.48:1701     158ms         CN         LAX    Los Angeles, US
188.114.97.193:1701    158ms         CN         LAX    Los Angeles, US
188.114.97.5:1701      158ms         CN         LAX    Los Angeles, US
162.159.192.151:1701   160ms         CN         LAX    Los Angeles, US
8.34.70.61:1701        160ms         CN         LAX    Los Angeles, US
162.159.192.217:1701   162ms         CN         LAX    Los Angeles, US
8.35.211.55:500        163ms         CN         LAX    Los Angeles, US
162.159.195.226:500    ?             CN         LAX    Los Angeles, US

# Best endpoint per node (lowest ping to the endpoint)
NODE   ENDPOINT               ENDPOINT PING SEEN AS    NODE LOCATION
LAX    8.39.204.89:1701       149ms         CN         Los Angeles, US
