# WARP endpoints: 14 working / 14 probed
# sorted by ping to the endpoint
# Scanned from inside a tunnel to 8.39.204.89:1701 (awg) - every endpoint here exits through that node's region
# ENDPOINT PING = ICMP from inside that tunnel to the endpoint, so it carries the outer hop too
# SEEN AS = region external services see through the tunnel
# NODE / NODE LOCATION = Cloudflare WARP edge node the tunnel landed on, and where it sits
# One /24 pool can land on several different nodes - NODE is per endpoint, not per subnet

ENDPOINT               ENDPOINT PING SEEN AS    NODE   NODE LOCATION
8.39.204.241:500       158ms         CN         LAX    Los Angeles, US
8.39.125.248:2408      158ms         CN         LAX    Los Angeles, US
162.159.192.195:2408   159ms         CN         LAX    Los Angeles, US
8.34.70.237:2408       159ms         CN         LAX    Los Angeles, US
8.47.69.58:2408        159ms         CN         LAX    Los Angeles, US
188.114.96.134:2408    159ms         CN         LAX    Los Angeles, US
188.114.97.22:2408     159ms         CN         LAX    Los Angeles, US
188.114.99.129:2408    159ms         CN         LAX    Los Angeles, US
8.6.112.109:500        159ms         CN         LAX    Los Angeles, US
162.159.195.44:2408    159ms         CN         LAX    Los Angeles, US
8.39.214.135:2408      159ms         CN         LAX    Los Angeles, US
188.114.98.34:2408     159ms         CN         LAX    Los Angeles, US
8.35.211.103:2408      159ms         CN         LAX    Los Angeles, US
8.34.146.62:500        159ms         CN         LAX    Los Angeles, US

# Best endpoint per node (lowest ping to the endpoint)
NODE   ENDPOINT               ENDPOINT PING SEEN AS    NODE LOCATION
LAX    8.39.204.241:500       158ms         CN         Los Angeles, US
